"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"D1","D","","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","50.37","0.00","0.00","0 kg","","","","20.11.2015","","","","","","09.04.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D27","D","","","Dienstleistung","","","","","0","0","Std","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","16.12.2013","","","","","","23.11.2010","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004782","WV","004782","","","","","","","1","0","Stck","0.00","0.00","150.00","150.00","0.00","0.00","0.00","1.4 kg","","","","06.05.2022","","","","","","06.05.2022","ja","40.00","0.00","0.00","","NETGEAR","103","285","27","","","","","","","",""
"","","","","","","","","","","","","","0.00","","150.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GA-N210SL-1GI","W","005185","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25 kg","","","","","","","","","","06.01.2023","ja","0.00","0.00","0.00","","Gigabye","16.5000","12.3000","2.2000","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P34","W","10$ Guthaben auf diamondcard.us via PayPal einbezahlt","","Geldbetraege","","","","","0","0","Stck","0.00","0.00","10.00","0.00","0.00","0.00","0.00","0 kg","","","","02.04.2008","","","","","","05.12.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000955","W","100-Franken Komplettsystem","","","","","","","49","0","Stck","50.00","2'450.00","100.00","4'900.00","0.00","0.00","0.00","17 kg","","","","14.06.2016","","","","","","20.02.2015","ja","0.00","0.00","0.00","","revamp-it","500","450","450","","","","","","","",""
"","","","","","","","","","","","","","2'450.00","","4'900.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALI00001","W","100% getestet Echtem Touch Panel Touchpad Trackpad Mit Kabel Für Apple Macbook Retina 13 ''A1502 Touchpad Trackpad 2015 Jahr (MacTop Store)","","Computer neu","","","","","0","0","Stck","0.00","0.00","18.00","0.00","17.60","0.00","0.00","0 kg","","","","16.09.2019","","","","","","22.11.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"ALI00001","W","100% getestet Echtem Touch Panel Touchpad Trackpad Mit Kabel Für Apple Macbook Retina 13 ''A1502 Touchpad Trackpad 2015 Jahr (MacTop Store)","","Computer neu","","","","","0","0","Stck","0.00","0.00","17.60","0.00","17.60","0.00","0.00","0 kg","","","","20.11.2019","","","","","","22.11.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"ALI00001","W","100% getestet Echtem Touch Panel Touchpad Trackpad Mit Kabel Für Apple Macbook Retina 13 ''A1502 Touchpad Trackpad 2015 Jahr (MacTop Store)","","Computer neu","","","","","0","0","Stck","0.00","0.00","17.60","0.00","17.60","0.00","0.00","0 kg","","","","22.11.2019","","","","","","22.11.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"ALI00001","W","100% getestet Echtem Touch Panel Touchpad Trackpad Mit Kabel Für Apple Macbook Retina 13 ''A1502 Touchpad Trackpad 2015 Jahr (MacTop Store)","","Computer neu","","","","","0","0","Stck","0.00","0.00","18.00","0.00","17.60","0.00","0.00","0 kg","","","","22.11.2019","","","","","","22.11.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9","W","100Mbit-Netzwerkswitch","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0 kg","","","","13.07.2010","","","","","","09.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P33","W","10/100 Ethernet Cardbus Adapter als 2.Netzwerkschnittstelle für IBM Thinkpad T40 Laptops als LTSP-Server","","Hardwareteile Occasion","","","","","0","0","Stck","0.00","0.00","15.00","0.00","0.00","0.00","0.00","0 kg","","","","30.12.2008","","","","","","03.12.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
