"","Beschreibung","Warenbestand","Erlöskonto Inland","Aufwandskonto Inland","Erlöskonto EU mit USt-ID Nummer","Aufwandskonto EU mit USt-ID Nummer","Erlöskonto EU ohne USt-ID Nummer","Aufwandskonto EU ohne USt-ID Nummer","Erlöskonto Außerhalb EU","Aufwandskonto Außerhalb EU","Ungültig"
"","Reparaturen","1200","3400","6700","3400","6700","3400","6700","3400","6700","nein"
"","Dienstleistungen und Sonstiges","1200","3400","6700","3400","6700","3400","6700","3400","6700","nein"
"","Warenverkauf","1200","3100","4000","3100","4000","3100","4000","3100","4000","nein"
"","Liftbenutzung","1200","6110","6110","6110","6110","6110","6110","6110","6110","nein"
"","Externe Arbeiten","1200","5006","6700","5006","6700","5006","6700","5006","6700","nein"
"","Ausserordentliches","1200","8510","8500","8510","8500","8510","8500","8510","8500","nein"
"","Versandspesen","1200","3400","4710","3400","4710","3400","4710","3400","4710","nein"
"","Spenden","1200","3500","8500","3500","8500","3500","8500","3500","8500","nein"
"","Integrations-Arbeitsplätze","1200","3450","5830","3450","5830","3450","5830","3450","5830","nein"
"","Mitgliederbeiträge","1200","3610","6700","3610","6700","3610","6700","3610","6700","nein"
"","Richtpreis-Aufstockung","1200","3510","8500","3510","8500","3510","8500","3510","8500","nein"
"","Richtpreis-Reduzierung","1200","3803","3803","3803","3803","3803","3803","3803","3803","nein"
