"Datum","Buchungsnummer","Typ","Rechnung","Auftrag","Lieferant","Betrag","Steuer","Summe","bezahlt","Zahlungsdatum","Betrag fällig","Fälligkeitsdatum","Vorgangsbezeichnung","Bemerkungen","Interne Bemerkungen","Bearbeiter","Projektnummer des Belegs","Abteilung","Lieferantennummer","Land","USt-IdNr.","Steuersatz","Zahlungsbedingungen","Buchungskonto","Sollkonto","Lastschrifteinzug","Erfassungsdatum","Positionen"
"25.01.2008","564","K","564","","JVC Construction AG","350.00","0.00","350.00","350.00","25.01.2008","0.00","25.01.2008","","","","Michel Stoeckli","","","011","","","Inland","","2000 -- Allgemeine Kreditoren","6000 -- Miete","nein","16.02.2010",""
"30.01.2008","566","K","566","","Swisscom (Schweiz) AG, Bern","166.25","0.00","166.25","166.25","30.01.2008","0.00","30.01.2008","","","","Michel Stoeckli","","","2","","","Inland","","2000 -- Allgemeine Kreditoren","6510 -- Telefon","nein","16.02.2010",""
"31.01.2008","567","K","567","","Postfinance","36.00","0.00","36.00","36.00","31.01.2008","0.00","31.01.2008","","","","Michel Stoeckli","","","3","","","Inland","","2000 -- Allgemeine Kreditoren","6900 -- Kontospesen und Finanzaufwand","nein","16.02.2010",""
"04.02.2008","570","K","570","","Wyscha Computer","94.25","0.00","94.25","94.25","04.02.2008","0.00","04.02.2008","","","","Michel Stoeckli","","","004","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"04.02.2008","569","K","569","","SWICO","134.50","0.00","134.50","134.50","04.02.2008","0.00","04.02.2008","","","","Michel Stoeckli","","","006","","","Inland","","2000 -- Allgemeine Kreditoren","6700 -- Übriger Betriebsaufwand","nein","16.02.2010",""
"04.02.2008","568","K","568","","Farbax Vertriebs AG","180.60","0.00","180.60","180.60","04.02.2008","0.00","04.02.2008","","","","Michel Stoeckli","","","003","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"15.02.2008","1148","S","Storno-572","","Utilis Occasions-Computer GmbH","-2.00","0.00","-2.00","-2.00","15.02.2008","0.00","15.02.2008","","","","Michel Stoeckli","","","4","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","07.01.2012",""
"15.02.2008","572","K(S)","572","","Utilis Occasions-Computer GmbH","2.00","0.00","2.00","4.00","15.02.2008","-2.00","15.02.2008","","","","Michel Stoeckli","","","4","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"15.02.2008","573","K","573","","Benno-Shop, IT Ankauf.ch","3'580.00","0.00","3'580.00","3'580.00","15.02.2008","0.00","15.02.2008","","","","Michel Stoeckli","","","007","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"15.02.2008","571","K","571","","Utilis Occasions-Computer GmbH","3'560.00","0.00","3'560.00","3'560.00","15.02.2008","0.00","15.02.2008","","","","Michel Stoeckli","","","4","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"19.02.2008","574","K","574","","Digitec","2'027.93","0.00","2'027.93","2'027.93","19.02.2008","0.00","19.02.2008","","","","Michel Stoeckli","","","001","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"19.02.2008","575","K","575","","jET Schweiz IT AG","77.05","0.00","77.05","77.05","19.02.2008","0.00","19.02.2008","","","","Michel Stoeckli","","","002","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"20.02.2008","577","K","577","","Digitec","27.13","0.00","27.13","27.13","20.02.2008","0.00","20.02.2010","","","","Michel Stoeckli","","","001","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"20.02.2008","578","K","578","","Microspot.ch","1'437.10","0.00","1'437.10","1'437.10","20.02.2008","0.00","20.02.2008","","","","Michel Stoeckli","","","7","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"20.02.2008","576","K","576","","Digitec","1'248.53","0.00","1'248.53","1'248.53","20.02.2008","0.00","20.02.2008","","","","Michel Stoeckli","","","001","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","16.02.2010",""
"22.02.2008","1147","K","1147","","Alltron AG","3'011.20","0.00","3'011.20","3'011.20","01.04.2008","0.00","07.03.2012","","Rechnung Nr. 1'279'332 22.Feb2008 WebOrder 640780, 10:31:12","","Paul Aeberli","","","013","","","Inland","","2000 -- Allgemeine Kreditoren","4000 -- Material-Einkauf","nein","07.01.2012",""
"25.02.2008","579","K","579","","JVC Construction AG","350.00","0.00","350.00","350.00","25.02.2008","0.00","25.02.2008","","","","Michel Stoeckli","","","011","","","Inland","","2000 -- Allgemeine Kreditoren","6000 -- Miete","nein","16.02.2010",""
