"Konto","Beschreibung (Klick öffnet einzelne Kontendetails)","Soll","Haben"
"1","AKTIVEN"
"10","UMLAUFSVERMÖGEN"
"100","Flüssige Mittel"
"1001","Kasse A.Rudin","35'858.75",""
"1002","Kasse J.Kägi","583.00",""
"1003","Kasse K.Kulhavy","",""
"1004","Kasse R.Blum","260.00",""
"1005","Kasse F.Walder","",""
"1006","Kasse A.Aguilar","",""
"1007","Kasse P.Aeberli","",""
"1008","Kasse A.Uebelhart","",""
"1009","Kasse P.Stäheli","",""
"1020","Postkonto 87-250971-7","98'238.75",""
"1030","Complino Tauschkonto","44.00",""
"1031","PayPal","5'102.08",""
"1032","verein.revamp Tauschen am Fluss","","534.00"
"1033","1928ts Talent Schweiz","14'943.38",""
"1034","Bitcoin Wallet","","1'447.37"
"110","Forderungen aus Lieferungen und Leistungen"
"1100","Debitoren","87'328.58",""
"114","Übrige kurzfristige Forderungen"
"1141","Gutschriften von LieferantInnen","75.76",""
"120","Vorräte und angefangene Arbeiten"
"1200","Warenvorräte","20'000.00",""
"1201","Bestellte Waren an Lager","2'500.00",""
"1290","Angefangene Arbeiten","2'800.00",""
"130","Aktive Rechnungsabgrenzung"
"1300","Aktive Rechnungsabgrenzung","20'634.15",""
"14","ANLAGEVERMÖGEN"
"140","Finanzanlagen"
"1410","Mietkaution","23'823.75",""
"150","Mobile Sachanlagen"
"1510","Mobiliar und Einrichtungen","5'722.92",""
"170","Immaterielle Werte"
"1710","Entwicklungsaufwand","33'000.00",""
"2","PASSIVEN"
"20","FREMDKAPITAL KURZFRISTIG"
"200","Kurzfristige Verbindlichkeiten aus Lieferungen und Leistungen"
"2000","Allgemeine Kreditoren","","5'968.59"
"210","Kurzfristige verzinsliche Finanzverbindlichkeiten"
"2185","Verbindlichkeiten Visa Business Card","","1'192.22"
"220","Übrige kurzfristige Verbindlichkeiten"
"2210","Geschuldete Steuern","","18.00"
"2220","kurzfristige Darlehen","","59'883.30"
"2250","Personalaufwand","","25'242.47"
"2270","Verbindlichkeiten Sozialversicherungen und Vorsorgeeinrichtungen","","2'269.95"
"230","Passive Rechnungsabgrenzung, kurzfristige Rückstellungen"
"2300","Passive Rechnungsabgrenzung","","29'762.09"
"2330","Kurzfristige Rückstellungen","",""
"24","FREMDKAPITAL LANGFRISTIG"
"250","Übrige langfristige Verbindlichkeiten"
"2500","Zinslose Darlehen","","41'010.00"
"28","EIGENKAPITAL"
"2800","Vereinsvermögen","","8'775.78"
"290","RESERVEN, BILANZGEWINN"
"2900","Reserven","",""
"2970","Gewinnvortrag","","142.33"
"2979","Jahresgewinn","",""
"3","BETRIEBSERTRAG AUS LIEFERUNGEN UND LEISTUNGEN"
"31","PRODUKTIONS- UND HANDELSERTRAG"
"3100","Warenverkauf","","699'748.85"
"34","DIENSTLEISTUNGSERTRAG"
"3400","Dienstleistungen und sonstiges","","976'394.01"
"3450","Integrations-Arbeitsplätze","","48'500.00"
"35","SPENDEN"
"3500","Spenden","","69'066.36"
"3510","Aufstockung Richtpreis","","938.00"
"36","Übrige Erlöse"
"3610","Mitgliederbeiträge","","460.00"
"3620","Erträge aus Provisionen","","400.00"
"38","ERTRAGSMINDERUNGEN AUS PRODUKTIONS-, HANDELS- UND DIENSTLEISTUNGSERTRÄGEN"
"3800","Skonti, Rabatte, Preisnachlässe","34.15",""
"3803","Ideelle Vergünstigungen","2'784.87",""
"3805","Verluste aus Forderungen","53'848.23",""
"4","AUFWAND FÜR MATERIAL, WAREN UND DIENSTLEISTUNGEN"
"40","MATERIALAUFWAND"
"4000","Material-Einkauf","150'836.20",""
"440","Dienstleitungsaufwand"
"4400","Aufwand für Dienstleistungen","10'960.26",""
"441","Provisionen"
"4410","Provisionen aus Materialspenden","9'216.85",""
"47","DIREKTE EINKAUFSSPESEN"
"4710","Transporte zu uns","3'432.61",""
"48","BESTANDESVERÄNDERUNGEN, MATERIAL- UND WARENVERLUSTE"
"4800","Bestandesänderungen","",""
"49","AUFWANDMINDERUNGEN"
"4900","Aufwandminderungen","","1'088.70"
"5","PERSONALAUFWAND"
"5000","Löhne und Gehälter","321'840.38",""
"5005","Leistungen von Sozialversicherung","",""
"5006","Lohnrückerstattung für externe Leistungen","","16'781.88"
"57","SOZIALVERSICHERUNGSAUFWAND"
"5700","AHV, IV, EO, ALV, FAK","58'317.40",""
"5720","Berufliche Vorsorge","13'218.40",""
"5730","Unfallversicherung","2'558.25",""
"5740","Krankentaggeldversicherung","6'776.00",""
"5750","Rückerstattung Sozialleistungen","","2'663.55"
"58","ÜBRIGER PERSONALAUFWAND"
"5810","Weiterbildungskosten","440.00",""
"5830","Spesen von Mitarbeitenden","21'877.40",""
"59","ARBEITSLEISTUNGEN DRITTER"
"5900","Arbeitsleistungen anderer Firmen","6'065.13",""
"6","SONSTIGER BETRIEBSAUFWAND"
"60","RAUMAUFWAND"
"6000","Miete","522'516.45",""
"6005","Einnahmen aus Untermiete","","13'800.00"
"61","ALLGEMEINE BETRIEBSKOSTEN"
"6100","Werkzeuge, Unterhalt, Betriebsmaterial","2'884.50",""
"6110","Liftbenutzung","670.00",""
"63","SACHVERSICHERUNGEN, ABGABEN, GEBÜHREN, BEWILLIGUNGEN"
"6300","Betriebsversicherungen","585.10",""
"6360","Abgaben, Gebühren und Bewilligungen","221.70",""
"64","ENERGIE- UND ENTSORGUNGSAUFWAND"
"6400","Strom, Gas, Wasser","5'194.05",""
"6460","Entsorgungsaufwand","48.45",""
"65","VERWALTUNGS- UND KOMMUNIKATIONSAUFWAND"
"6500","Büro- und sonstiger Verwaltungsaufwand","1'017.10",""
"6510","Telefon","9'106.86",""
"6511","Internet und Serverhousing","62'749.86",""
"66","WERBEAUFWAND"
"6600","Werbeaufwand","10'989.85",""
"67","ÜBRIGER BETRIEBSAUFWAND"
"6700","Übriger Betriebsaufwand","106'690.19",""
"68","ABSCHREIBUNGEN"
"6800","Abschreibungen","11'775.00",""
"69","FINANZERFOLG"
"6900","Kontospesen und Finanzaufwand","5'061.21",""
"6943","Rundungsaufwand","0.42",""
"6950","Finanzertrag","","114.55"
"6953","Rundungsertrag","","0.32"
"8","AUSSERORDENTLICHER UND BETRIEBSFREMDER ERFOLG, STEUERN"
"85","AUSSERORDENTLICHER, EINMALIGER AUFWAND UND ERTRAG"
"8500","Ausserordentlicher Aufwand","23'377.47",""
"8510","Ausserordentlicher Ertrag","","29'049.11"
"8700","Periodenfremder Aufwand","2'790.07",""
"89","DIREKTE STEUERN"
"8900","Steuern","4'878.60",""
"9","ABSCHLUSS"
"90","ERFOLGSRECHNUNG"
"91","BILANZ"
