"Lager","Lagerplatz","Artikelnummer","Typ","Artikelbeschreibung","Chargennummer","Menge","Einheit","Listenpreis","EK-Preis","Preisfaktor","Bestandswert","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"B-379","IDE-0004","000007","W","Maxtor DiamondMax 10 6L200PO","","6","Stck","35.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0003","000009","W","Maxtor DiamondMax 16 4A250J0","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0001","000076","W","Seagate Barracuda 7200.7 - 40GB","","1","Stck","0.00","0.00","","0.00","","Seagate","14.5000","10.0000","2.5000","","","","","","","",""
"B-379","IDE-0002","000077","W","Seagate Barracuda 7200.7 - 80GB","","2","Stck","0.00","0.00","","0.00","","Seagate","14.7000","10.2000","2.6000","","","","","","","",""
"B-379","IDE-0008","000077","W","Seagate Barracuda 7200.7 - 80GB","","28","Stck","0.00","0.00","","0.00","","Seagate","14.7000","10.2000","2.6000","","","","","","","",""
"B-379","SATA-0002","000078","W","Western Digital-WD1600AAJS_07PSA0 160GB","","1","Stck","30.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0008","000080","W","Western Digital WD5000AAKS-60Z1A0 500GB","","1","Stck","50.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","000105","W","Samsung ML-2510","","1","Stck","39.00","0.00","","0.00","","Samsung","299","378","227","","","","","","","",""
"B-379","IDE-0005","000172","W","Western Digital Caviar WD800LB-60DNA1","","5","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0001","000173","W","Seagate U6 ST380020A","","3","Stck","0.00","0.00","","0.00","","Seagate","150","100","30","","","","","","","",""
"B-379","IDE-0008","000173","W","Seagate U6 ST380020A","","1","Stck","0.00","0.00","","0.00","","Seagate","150","100","30","","","","","","","",""
"B-379","IDE-0009","000173","W","Seagate U6 ST380020A","","3","Stck","0.00","0.00","","0.00","","Seagate","150","100","30","","","","","","","",""
"B-379","IDE-0007","000174","W","Maxtor DiamondMax Plus 9 6Y080L0_80GB","","19","Stck","20.00","0.00","","0.00","","Maxtor","150","100","30","","","","","","","",""
"B-379","IDE-0003","000178","W","Samsung SP2514N","","4","Stck","0.00","0.00","","0.00","","Samsung","150","100","30","","","","","","","",""
"B-379","SATA-0005","000235","W","Western Digital Caviar WD400BD - 60LTA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26.1","","","","","","","",""
"B-379","SATA-0005","000236","W","Maxtor DiamondMax 10 6V080E0","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0008","000238","W","Hitachi Deskstar HDS728080PLAT20 80GB","","3","Stck","0.00","0.00","","0.00","","Hitachi","147","102","26","","","","","","","",""
"B-379","IDE-0005","000239","W","Western Digital WD800BB-00CAA1 80GB","","3","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
