"Buchungsnummer","Lieferantenname","Nummer","Kontakt","Abteilung 1","Abteilung 2","Telefon","Rabatt","Fax","E-Mail","Steuernummer","Straße","PLZ","Stadt","Zahlungsbedingungen","Steuersatz","Rechnung","Lieferantenauftrag","Anfrage","Land","GLN","Erfassungsdatum","USt-IdNr.","Mailing an IT-Firmen","Newsletter","Adresse woher?"
"381070","100 Damas Restaurant Pizzeria","100","","","","","0.00","","","","","","","","Inland","","","","","","26.04.2023","","Nein","Ja",""
"17473","A&A ComSys","1014","","","","089/504267","0.00","","ebay@aa-comsys.de","","Schwanthalerstr. 126","80339","München","","Inland","1418700774002","","","","","23.04.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2311","Abbo Informatique SA","10","","","","","0.00","","","","","","","","Inland","","","","","","16.02.2010","","","",""
"23892","Accupart Ltd","1224","","","","0044 845 459 7165","0.00","","dave@accupart.co.uk","","25a Longwood Park, Longwood Road, Trafford Park","M17 1PZ","Manchester","","Inland","2GR323186D263733G","","","Grossbritannien","","01.04.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","135580","","","","","","","","",""
"29629","Accuswiss GmbH","1444","","","","061 902 05 12","0.00","","mail@accuswiss.ch","","Frenkendörferstr. 27","4410","Liestal","","Inland","96699","","","","","02.03.2017","","","",""
"","","","","","","","","","","","","","","","","","10020116","","","","","","","",""
"","","","","","","","","","","","","","","","","","121130","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","23956-1511788475","","","","","","","","",""
"29449","Ada ina","46","","","","","0.00","","","","","","","","Inland","","","","China","","23.02.2017","","","",""
"","","","","","","","","","","","","","","","","501622134731093","","","","","","","","",""
"20203","akku-handel.ch gmbh","1079","","","","061 711 06 66","0.00","","info@akku−handel.ch","","Herrenweg 40","4153","Reinach","","Inland","AG16073349","16","","","","02.10.2015","","","",""
"","","","","","","","","","","","","","","","","","12","","","","","","","",""
"","","","","","","","","","","","","","","","","CA15079797","","","","","","","","",""
"","","","","","","","","","","","","","","","","","16","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","CA15079797","","","","","","","",""
"","","","","","","","","","","","","","","","","AG15066066","","","","","","","","",""
"41787","Akkustadl","78","Peter Andreas","","","0049 89 66594640","0.00","","info@akkustadl.de","","Isartalstr. 51","82008","Unterhaching","","Inland","","","","","","22.06.2018","","","",""
"","","","","","","","","","","","","","","","","","BE2018-19222","","","","","","","",""
"22855","akkus-zentrum.ch","1177","Li Zhang Zheng","","","+8613755048468","0.00","","ebay@laptopbatteriesstore.com, ch, akkuszentrum@gmail.com","","","","","","Inland","","","","","","09.02.2016","","","",""
"","","","","","","","","","","","","","","","","2JK2273234069801X","","","","","","","","",""
"","","","","","","","","","","","","","","","","2B802879UA784912A","","","","","","","","",""
