"Lieferant","Rechnung","Datum","Fällig","Betrag","Offen","Letzter Zahlungseingang","Offener Betrag zum letzten Zahlungseingang","Hinweis"
"Ada ina","501622134731093","22.02.2017","22.02.2017","20.00","20.00","","20.00",""
"","","","","20.00","20.00","","20.00",""
"bloosite AG","801412","22.01.2026","11.02.2026","5'007.20","5'007.20","","5'007.20",""
"","","","","5'007.20","5'007.20","","5'007.20",""
"Blum Raphael","649","27.08.2008","27.08.2008","1'500.00","","27.08.2008","-1'500.00",""
"","","","","1'500.00","","","-1'500.00",""
"Digitec","3903429","04.03.2014","04.03.2014","31.00","62.00","04.03.2014","31.00",""
"","","","","31.00","62.00","","31.00",""
"Distrelec","5684681","20.05.2015","20.06.2015","34.25","65.96","20.05.2015","34.25",""
"","5755270","23.07.2015","21.08.2015","3.75","3.45","05.10.2015","3.45",""
"","","","","38.00","69.41","","37.70",""
"Ebuy Limited","8N679101YB802531G","05.07.2017","05.07.2017","135.09","135.09","","135.09",""
"","","","","135.09","135.09","","135.09",""
"Hauck Ralph","889594636","08.03.2017","08.03.2017","341.00","341.00","","341.00",""
"","","","","341.00","341.00","","341.00",""
"Init7 (Schweiz) AG","INC/24/059228","03.09.2024","02.10.2024","719.95","719.95","","719.95",""
"","INC/25/040793","01.08.2025","31.08.2025","1'016.98","1'016.98","","1'016.98",""
"","","","","1'736.93","1'736.93","","1'736.93",""
"laptopscreenwholesale@gmail.com","4523-1507114308","29.09.2017","29.09.2017","147.20","147.20","","147.20",""
"","","","","147.20","147.20","","147.20",""
"NEST","591722","26.07.2013","26.07.2013","555.00","","26.07.2103","",""
"","","","","555.00","","","",""
"Planzer AG","17031084","31.08.2024","30.09.2024","227.90","227.90","","227.90",""
"","","","","227.90","227.90","","227.90",""
"Post CH AG","Kurepo","08.03.2023","08.03.2023","-4.00","-90.90","08.03.2023","-90.90",""
"","","","","-4.00","-90.90","","-90.90",""
"SBB","unbekannt","28.05.2013","30.04.2015","10.40","10.40","30.05.2103","",""
"","","","","10.40","10.40","","",""
"SVA Zürich","ABR-Nr. BR 1.246","20.05.2016","30.09.2016","5'048.60","1'054.65","11.10.2016","1'054.65",""
"","139","03.11.2017","03.11.2017","728.25","-20.00","03.11.2017","-20.00",""
"","","","","5'776.85","1'034.65","","1'034.65",""
"Xim-Lisa Store","506029441491093","04.06.2018","04.06.2018","20.73","20.73","","20.73",""
"","","","","20.73","20.73","","20.73",""
"YouPuWei technology Co.,LTD","506139999151093","06.06.2018","06.06.2018","50.03","50.03","","50.03",""
"","","","","50.03","50.03","","50.03",""
"ZVV","00802370710120907, 25303212611121147","11.12.2015","11.12.2015","12.90","12.90","","12.90",""
"","","","","12.90","12.90","","12.90",""
"","","","","15'606.23","8'784.54","","7'211.43",""
