"Konto","Beschreibung","Letzte Buchung","Eröffnungsbilanzwerte","Summe für 01.01.2026 - 31.12.2026","Summe per 31.12.2026","Saldo per 31.12.2026"
"Aktiva","Passiva","Soll","Haben","Soll","Haben","Soll","Haben"
"1","AKTIVEN","","","","","","","","",""
"10","UMLAUFSVERMÖGEN","","","","","","","","",""
"100","Flüssige Mittel","","","","13'760.15","6.35","373'116.54","204'136.70","168'979.84",""
"1001","Kasse A.Rudin","09.02.2026","","","7'036.95","","69'713.70","41'286.15","28'427.55",""
"1020","Postkonto 87-250971-7","09.02.2026","","","6'172.10","6.35","295'493.71","160'691.34","134'802.37",""
"1031","PayPal","02.02.2026","","","551.10","","6'783.13","2'159.21","4'623.92",""
"1032","verein.revamp Tauschen am Fluss","","","","","","60.00","","60.00",""
"1033","1928ts Talent Schweiz","","","","","","1'066.00","","1'066.00",""
"110","Forderungen aus Lieferungen und Leistungen","","","","6'736.80","13'754.27","336'607.95","316'996.11","19'611.84",""
"1100","Debitoren","10.02.2026","","","6'736.80","13'754.27","336'607.95","316'996.11","19'611.84",""
"114","Übrige kurzfristige Forderungen","","","","","","","","",""
"120","Vorräte und angefangene Arbeiten","","","","","","","5'000.00","","5'000.00"
"1200","Warenvorräte","","","","","","","5'000.00","","5'000.00"
"130","Aktive Rechnungsabgrenzung","","","","","","","3'500.00","","3'500.00"
"1300","Aktive Rechnungsabgrenzung","","","","","","","3'500.00","","3'500.00"
"14","ANLAGEVERMÖGEN","","","","","","","","",""
"140","Finanzanlagen","","","","","","","","",""
"150","Mobile Sachanlagen","","","","","","742.92","","742.92",""
"1510","Mobiliar und Einrichtungen","","","","","","742.92","","742.92",""
"170","Immaterielle Werte","","","","","","","","",""
"2","PASSIVEN","","","","","","","","",""
"20","FREMDKAPITAL KURZFRISTIG","","","","","","","","",""
"200","Kurzfristige Verbindlichkeiten aus Lieferungen und Leistungen","","","","","5'784.20","29'103.40","36'761.53","","7'658.13"
"2000","Allgemeine Kreditoren","26.01.2026","","","","5'784.20","29'103.40","36'761.53","","7'658.13"
"210","Kurzfristige verzinsliche Finanzverbindlichkeiten","","","","","","","","",""
"220","Übrige kurzfristige Verbindlichkeiten","","","","","","26'205.65","23'398.95","2'806.70",""
"2220","kurzfristige Darlehen","","","","","","26'205.65","23'398.95","2'806.70",""
"230","Passive Rechnungsabgrenzung, kurzfristige Rückstellungen","","","","","","","22'100.00","","22'100.00"
"2300","Passive Rechnungsabgrenzung","","","","","","","22'100.00","","22'100.00"
"24","FREMDKAPITAL LANGFRISTIG","","","","","","","","",""
"250","Übrige langfristige Verbindlichkeiten","","","","","","","","",""
"28","EIGENKAPITAL","","","","","","","","",""
"290","RESERVEN, BILANZGEWINN","","","","","","","","",""
"3","BETRIEBSERTRAG AUS LIEFERUNGEN UND LEISTUNGEN","","","","","","","","",""
"31","PRODUKTIONS- UND HANDELSERTRAG","","","","","3'324.13","3'709.39","89'252.34","","85'542.95"
"3100","Warenverkauf","10.02.2026","","","","3'324.13","3'709.39","89'252.34","","85'542.95"
"34","DIENSTLEISTUNGSERTRAG","","","","","3'312.69","1'040.00","207'240.91","","206'200.91"
"3400","Dienstleistungen und sonstiges","10.02.2026","","","","3'312.69","1'040.00","192'240.91","","191'200.91"
"3450","Integrations-Arbeitsplätze","","","","","","","15'000.00","","15'000.00"
"35","SPENDEN","","","","","100.00","21'330.00","32'420.35","","11'090.35"
"3500","Spenden","06.02.2026","","","","100.00","21'330.00","32'174.35","","10'844.35"
"3510","Aufstockung Richtpreis","","","","","","","246.00","","246.00"
"36","Übrige Erlöse","","","","","","","","",""
"38","ERTRAGSMINDERUNGEN AUS PRODUKTIONS-, HANDELS- UND DIENSTLEISTUNGSERTRÄGEN","","","","","","440.84","","440.84",""
"3803","Ideelle Vergünstigungen","","","","","","434.90","","434.90",""
"3805","Verluste aus Forderungen","","","","","","5.94","","5.94",""
"4","AUFWAND FÜR MATERIAL, WAREN UND DIENSTLEISTUNGEN","","","","","","","","",""
"40","MATERIALAUFWAND","","","","","","5'942.46","359.48","5'582.98",""
"4000","Material-Einkauf","","","","","","5'942.46","359.48","5'582.98",""
"440","Dienstleitungsaufwand","","","","","","3'277.55","4.00","3'273.55",""
"4400","Aufwand für Dienstleistungen","","","","","","3'277.55","4.00","3'273.55",""
"441","Provisionen","","","","","","","","",""
"47","DIREKTE EINKAUFSSPESEN","","","","","","","","",""
"48","BESTANDESVERÄNDERUNGEN, MATERIAL- UND WARENVERLUSTE","","","","","","","","",""
"49","AUFWANDMINDERUNGEN","","","","","","","","",""
"5","PERSONALAUFWAND","","","","","","39'737.80","100.00","39'737.80","100.00"
"5000","Löhne und Gehälter","","","","","","39'737.80","","39'737.80",""
"5006","Lohnrückerstattung für externe Leistungen","","","","","","","100.00","","100.00"
"57","SOZIALVERSICHERUNGSAUFWAND","","","","","","8'581.50","204.00","8'377.50",""
"5700","AHV, IV, EO, ALV, FAK","","","","","","5'612.15","","5'612.15",""
"5720","Berufliche Vorsorge","","","","","","1'393.10","","1'393.10",""
"5730","Unfallversicherung","","","","","","793.25","","793.25",""
"5740","Krankentaggeldversicherung","","","","","","579.00","","579.00",""
"5750","Rückerstattung Sozialleistungen","","","","","","204.00","204.00","",""
