"","Beschreibung","Langtext (Angebote & Aufträge)","Langtext (Rechnungen)","Automatische Datumsberechnung","Zahlungsziel netto","Zahlungsziel Skonto","Skonto","Ungültig"
"","bar beim Abholen","zahlbar in bar beim Abholen","zahlbar in bar beim Abholen","ja","0","0","0.00 %","0"
"","Vorauszahlung","zahlbar per Vorauszahlung auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7","zahlbar per Vorauszahlung auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7 (QR-Code siehe unten)","ja","0","0","0.00 %","0"
"","zahlbar innert 10 Tagen","zahlbar innert 10 Tagen nach Abschluss des Auftrags","zahlbar innert 10 Tagen auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7 (QR-Code siehe unten)","ja","10","0","0.00 %","0"
"","Nur Angebot: Vorauszahlung bei Auftragserteilung","zahlbar per Vorauszahlung bei Auftragserteilung auf Konto revamp-it, Zürich, Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7","","ja","0","0","0.00 %","0"
"","Vorauszahlung Paypal","zahlbar per Vorauszahlung auf Paypal-Konto empfang@revamp-it.ch","zahlbar per Vorauszahlung auf Paypal-Konto empfang@revamp-it.ch","ja","0","0","0.00 %","0"
"","Betrag in bar erhalten.","Betrag in bar erhalten.","Betrag in bar erhalten.","ja","0","0","0.00 %","0"
"","Tauschen am Fluss Stunden","zahlbar in Tauschstunden auf Konto ""Verein revamp-it"" bei ""Tauschen am Fluss""","zahlbar in Tauschstunden auf Konto ""Verein revamp-it"" bei ""Tauschen am Fluss""","ja","0","0","0.00 %","0"
"","bei Erhalt der Rechnung","Zahlung bei Erhalt der Rechnung","Zahlung bei Erhalt der Rechnung auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7 (QR-Code siehe unten)","ja","1","0","0.00 %","0"
"","Paypal bezahlt","Betrag per Paypal erhalten.","Betrag per Paypal erhalten.","ja","0","0","0.00 %","0"
"","50 - 50","50% Vorauszahlung bei Auftragserteilung, Rest innert 10 Tagen gemäss Abschlussrechnung nach Fertigstellung des Auftrags","","nein","0","0","0.00 %","0"
"","Talent","zahlbar in Talent auf Konto 1928ts bei ""Talent Schweiz""","zahlbar in Talent auf Konto 1928ts bei ""Talent Schweiz""","ja","0","0","0.00 %","0"
"","Talent bezahlt","Betrag erhalten in Talent auf Konto 1928ts bei Talent Schweiz","Betrag erhalten in Talent auf Konto 1928ts bei Talent Schweiz","ja","0","0","0.00 %","0"
"","jährlich im Voraus","Jahresrechnung zahlbar jeweils vor Beginn der Abrechnungsperiode","Jahresrechnung zahlbar bis <%netto_date%> auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7 (QR-Code siehe unten)","ja","30","0","0.00 %","0"
"","Zahlbar bis Fälligkeitsdatum","zahlbar bis <%netto_date%> auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7","zahlbar bis <%netto_date%> auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7 (QR-Code siehe unten)","nein","0","0","0.00 %","0"
"","Paypal QR-Code","zahlbar via PayPal App mit beigefügtem QR-Code","zahlbar via PayPal App mit beigefügtem QR-Code","ja","0","0","0.00 %","0"
"","Vorauszahlung SEPA","zahlbar per Vorauszahlung mit SEPA in EURO auf Konto revamp-it, Zürich, Postfinance AG, CH 3030 Bern, IBAN: CH16 0900 0000 8725 0971 7, BIC: POFICHBEXXX","zahlbar per Vorauszahlung mit SEPA in EURO auf Konto revamp-it, Zürich, Postfinance AG, CH 3030 Bern, IBAN: CH16 0900 0000 8725 0971 7, BIC: POFICHBEXXX","ja","0","0","0.00 %","0"
"","CHF / Talent bei Rechnungserhalt","Zahlung bei Erhalt der Rechnung: In Schweizer Franken auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7, in Talent auf Konto 1928ts bei ""Talent Schweiz""","Zahlung bei Erhalt der Rechnung: In Schweizer Franken auf Konto revamp-it, Zürich Postkonto: 87-250971-7, IBAN: CH16 0900 0000 8725 0971 7 (QR-Code siehe unten), in Talent auf Konto 1928ts bei ""Talent Schweiz""","ja","1","0","0.00 %","0"
"","Gutschrift gültig bis","Diese Gutschrift ist gültig bis <%duedate%>.","Diese Gutschrift ist gültig bis <%duedate%>.","nein","0","0","0.00 %","0"
